,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
341,-0.7667,0.249,0.249,0.0,@FoxNews,2018-10-08 04:49:29,"@FoxNews STEPHEN COLBERT RAPED ME WHEN I WAS A TWELVE YEAR OLD BOY! 
I DAAAAAAAARE HIM TO DISPROOF DISPROOF DISPROO… https://t.co/g6gHcMNm6e",2
342,0.4215,0.0,0.0,0.359,@FoxNews,2018-10-08 04:49:28,@Frank12103731 @judybeans1 @FoxNews Making any progress,3
343,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:27,@FoxNews Deer for Hunters,4
344,-0.8402,0.333,0.333,0.0,@FoxNews,2018-10-08 04:49:26,"RT @FoxNews: .@benshapiro: ""The Democrats should be ashamed of themselves, but since they have no shame, none will be forthcoming."" https:/…",5
345,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:23,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,6
346,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:22,@FoxNews @RepMattGaetz Gonna need more popcorn.,7
347,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:22,"RT @FoxNews: Kanye West deletes Twitter, Instagram accounts -- again https://t.co/unz8KEKcug",8
348,-0.1098,0.088,0.088,0.074,@FoxNews,2018-10-08 04:49:21,@FoxNews Why is it ok for him to tell Kanye to stay in music and we dont care about his options. But we let ever ac… https://t.co/toBaZlIOmp,9
349,-0.2006,0.178,0.178,0.147,@FoxNews,2018-10-08 04:49:21,RT @FoxNews: .@LindseyGrahamSC says he's 'happy as a clam' after Kavanaugh hearings made him 'more pissed' than ever before https://t.co/Zy…,10
350,0.34,0.085,0.085,0.14,@FoxNews,2018-10-08 04:49:20,"RT @FoxNews: .@dbongino: ""We've now seen tax cuts, a boom in the economy, two Supreme Court justices— we're only two years in."" https://t.c…",11
351,-0.4767,0.256,0.256,0.0,@FoxNews,2018-10-08 04:49:19,@Frank12103731 @judybeans1 @FoxNews How's the whole colbert advertiser attack going?,12
352,0.9081,0.0,0.0,0.488,@FoxNews,2018-10-08 04:49:19,RT @FoxNews: .@ufc fighter Nik Lentz congratulates 'homie' Supreme Court Justice Brett Kavanaugh after match win https://t.co/31iyVuZpcR,13
353,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:49:18,@FoxNews SNL snoring,14
354,-0.0258,0.109,0.109,0.0,@FoxNews,2018-10-08 04:49:17,RT @TimFaulkner_81: @thomaskaine5 That's what happens when people freebase @foxnews.,15
355,0.9081,0.0,0.0,0.488,@FoxNews,2018-10-08 04:49:16,RT @FoxNews: .@ufc fighter Nik Lentz congratulates 'homie' Supreme Court Justice Brett Kavanaugh after match win https://t.co/31iyVuZpcR,16
356,0.09,0.176,0.176,0.147,@FoxNews,2018-10-08 04:49:16,@Snake_Oil_Free @FoxNews @ufc Yea a russian Muslim loses it and assaults someone at a professional sporting event but white privilege,17
357,0.34,0.085,0.085,0.14,@FoxNews,2018-10-08 04:49:14,"RT @FoxNews: .@dbongino: ""We've now seen tax cuts, a boom in the economy, two Supreme Court justices— we're only two years in."" https://t.c…",18
358,0.34,0.085,0.085,0.14,@FoxNews,2018-10-08 04:49:13,"RT @FoxNews: .@dbongino: ""We've now seen tax cuts, a boom in the economy, two Supreme Court justices— we're only two years in."" https://t.c…",19
